"","phon","freq","freq_log10","nd","pp"
"1291","B_IY_T_AH_N",2.19071807357015,0.503888432365908,6,0.00902843087300775
"1292","B_IY_T_IH_NG",6.57215422071047,0.879219450579859,9,0.00811511862597121
"1293","B_IY_T_IY",1.46047871571344,0.39101961253686,5,0.00336144148382985
"1294","B_IY_T_R_UW_T",0.730239357856718,0.238106186715963,0,0.00298418414636974
"1295","B_IY_V_ER",2.92095743142687,0.593392127330361,1,0.00188383610748394
"1296","B_IY_Z",20.4467020199881,1.3313605177496,32,0.00384001144609281
"1297","B_L_AA_B",5.84191486285375,0.835177665753331,4,0.00164905171043873
"1298","B_L_AA_B_IY",2.19071807357015,0.503888432365908,3,0.00185412282720754
"1299","B_L_AA_B_Z",2.19071807357015,0.503888432365908,3,0.00129991477637422
"1300","B_L_AA_K",12.4140690835642,1.12756053866286,6,0.00222644601645998
"1301","B_L_AA_K_B_AA_K_S",0.730239357856718,0.238106186715963,0,0.0026719533482851
"1302","B_L_AA_K_IH_NG",0.730239357856718,0.238106186715963,1,0.00628805585512323
"1303","B_L_AA_K_S",28.479334956412,1.46951768176441,5,0.00316966004991266
"1304","B_L_AA_K_T",0.730239357856718,0.238106186715963,3,0.00235135489730468
"1305","B_L_AA_N_D",7.30239357856718,0.919203317448713,2,0.00381025103928147
"1306","B_L_AE_K",191.32271175846,2.28403057393658,5,0.00257866973856272
"1307","B_L_AE_K_B_AO_R_D",5.11167550499703,0.786160287627463,0,0.00274207763226809
"1308","B_L_AE_K_B_ER_D",4.38143614714031,0.730898191567095,2,0.00217394705654261
"1309","B_L_AE_K_B_ER_D_S",0.730239357856718,0.238106186715963,2,0.00200452043108984
"1310","B_L_AE_K_B_ER_D_Z",4.38143614714031,0.730898191567095,2,0.00220548144077612
